Catarman City	Sugang	39	9
Catarman City	Cervantes	45	11
Catarman City	Galutan	52	6
Catarman City	Rosario	35	7
Catarman City	Bobon	37	14
Dolores City	Hinolaso	84	19
Dolores City	Buenavista	91	20
Dolores City	San Isidro	101	19
Dolores City	San Policarpio	97	16
Dolores City	Can-avid	91	23
Calbiga City	Langun-Gobingob	69	29
Calbiga City	Lulugayan	75	32
Calbiga City	Buluan	83	30
Calbiga City	San Sebastian	72	27
Calbiga City	Villareal	63	32
Catubig City	Batag	74	2
Catubig City	Pambujan	70	5
Catubig City	Nagbobtac	74	8
Catubig City	Mapanas	81	7
Catubig City	Palapag	81	4
Mercedez City	Salcedo	98	36
Mercedez City	Giporlos	98	39
Mercedez City	Maliwaliw	106	39
Mercedez City	Guiuan	116	41
Mercedez City	Asgad	109	34
